12.10.2022;Undine Rausch;Mitgliedsbeitrag 2022;40,00 €;
12.10.2022;METRO Deutschland GmbH;Einkauf Halloweenparty 2022;-217,98 €;2022-11-06-0010
10.10.2022;VR Bank Westthüringen eG;Entgeld Zeichnungsberechtigung;-15,00 €;
04.10.2022;Amazon EU S.A R.L. Deutschland;Brennstuhl Wandverteiler (Stromverteiler) 2 Stück;-229,98 €;DE25KVOQ4AEUI
23.09.2022;Moviescreens Rental GmbH;Rechnung Leinwand Sommerkino 2022;-1.190,00 €;RE-2022-8
21.09.2022;TNZ Dienstleistungen;Sammelrechnung Kassensystem, Fotobox, …;-711,62 €;1014
21.09.2022;GEMA;Gema Lizenzgebühren Sommerkino 2022;-483,98 €;7110661783
20.09.2022;VR Bank Filiale Ohrdruf;Bareinzahlung;1.265,00 €;
16.09.2022;Weischer Cinema GmbH;Auszahlung Kinowerbung Sommerkino 2022;225,96 €;G2203194
16.09.2022;Thüringer Fernwasserversorgung;Werbeabrechnung Sommerkino 2022;100,00 €;RE 17/2022
09.09.2022;Facebook (Paypal);Werbung Sommerkino 2022 Facebook;-35,03 €;FBADS-009-1020
07.09.2022;Constantin Filmverleih GmbH;Rückzahlung Überschuss Sicherheitsleistung;325,20 €;
01.09.2022;Logando Display & Media Solutions;Rückzahlung Kaution;2.000,00 €;
31.08.2022;DJ Dog Torsten Volknant;Beschallungs- und Lichttechnik Sommerkino 2022;-1.200,00 €;2820220820
31.08.2022;Lares Sicherheitsdienst;Security Opening Party;-404,60 €;242
31.08.2022;Getränke Kein;Getränkeeinkauf + Miete Schank- & Kühlwagen Soki22;-2.031,58 €;221320
